month,baseline_auc,enhanced_auc,diff,n_test
2014-11,0.47435897435897434,0.35897435897435903,-0.11538461538461531,19
2014-12,0.6916666666666667,0.6333333333333333,-0.05833333333333335,22
2015-01,0.3434343434343434,0.303030303030303,-0.04040404040404044,20
2015-02,0.7159090909090909,0.7045454545454545,-0.011363636363636465,19
2015-03,0.625,0.4375,-0.1875,22
2015-04,0.7019230769230769,0.6057692307692308,-0.09615384615384603,21
2015-05,0.43999999999999995,0.51,0.07000000000000006,20
2015-06,0.275,0.5083333333333333,0.23333333333333328,22
2015-07,0.32231404958677684,0.6198347107438016,0.29752066115702475,22
2015-08,0.4807692307692307,0.375,-0.10576923076923073,21
2015-09,0.3727272727272727,0.44545454545454544,0.07272727272727275,21
2015-10,0.358974358974359,0.6153846153846154,0.25641025641025644,22
2015-11,0.5416666666666667,0.27083333333333337,-0.27083333333333337,20
2015-12,0.46153846153846156,0.5470085470085471,0.0854700854700855,22
2016-01,0.6333333333333334,0.5777777777777777,-0.05555555555555569,19
2016-02,0.55,0.42000000000000004,-0.13,20
2016-03,0.7238095238095239,0.6285714285714286,-0.09523809523809534,22
2016-04,0.4727272727272727,0.48181818181818176,0.009090909090909038,21
2016-05,0.43518518518518523,0.5185185185185185,0.08333333333333326,21
2016-06,0.41666666666666674,0.32499999999999996,-0.09166666666666679,22
2016-07,0.43434343434343436,0.26262626262626265,-0.1717171717171717,20
2016-08,0.5075757575757577,0.5151515151515151,0.007575757575757458,23
2016-09,0.390909090909091,0.39999999999999997,0.009090909090908983,21
2016-10,0.509090909090909,0.5909090909090909,0.0818181818181819,21
2016-11,0.4537037037037037,0.36111111111111116,-0.09259259259259256,21
2016-12,0.4423076923076923,0.5192307692307692,0.07692307692307687,21
2017-01,0.6060606060606061,0.4343434343434343,-0.17171717171717177,20
2017-02,0.6499999999999999,0.08333333333333333,-0.5666666666666665,19
2017-03,0.5555555555555555,0.626984126984127,0.07142857142857151,23
2017-04,0.6111111111111112,0.6111111111111112,0.0,19
2017-05,0.7583333333333333,0.6833333333333333,-0.07499999999999996,22
2017-06,0.5867768595041323,0.6611570247933884,0.07438016528925617,22
2017-07,0.5208333333333334,0.5625,0.04166666666666663,20
2017-08,0.5634920634920635,0.23809523809523808,-0.3253968253968254,23
2017-09,0.20238095238095238,0.6071428571428572,0.4047619047619048,20
2017-10,0.39583333333333337,0.3541666666666667,-0.041666666666666685,22
2017-11,0.6,0.5,-0.09999999999999998,21
2017-12,0.494949494949495,0.5454545454545454,0.05050505050505044,20
2018-01,0.6224489795918368,0.3979591836734694,-0.22448979591836737,21
2018-02,0.4666666666666666,0.6000000000000001,0.13333333333333347,19
2018-03,0.4537037037037037,0.24999999999999997,-0.20370370370370375,21
2018-04,0.576923076923077,0.5384615384615385,-0.038461538461538436,21
2018-05,0.5289256198347108,0.7107438016528925,0.18181818181818177,22
2018-06,0.576923076923077,0.4519230769230769,-0.12500000000000006,21
2018-07,0.6851851851851852,0.5833333333333334,-0.10185185185185186,21
2018-08,0.5793650793650793,0.5238095238095238,-0.05555555555555547,23
2018-09,0.6818181818181819,0.2954545454545454,-0.38636363636363646,19
2018-10,0.45,0.5833333333333333,0.13333333333333325,23
2018-11,0.5727272727272728,0.6454545454545455,0.07272727272727275,21
2018-12,0.30952380952380953,0.34523809523809523,0.0357142857142857,19
2019-01,0.525,0.4625,-0.0625,21
2019-02,0.7142857142857144,0.1904761904761905,-0.523809523809524,19
2019-03,0.5363636363636364,0.5,-0.036363636363636376,21
2019-04,0.6224489795918368,0.6836734693877551,0.061224489795918324,21
2019-05,0.4196428571428571,0.7053571428571428,0.2857142857142857,22
2019-06,0.3516483516483517,0.4835164835164836,0.1318681318681319,20
2019-07,0.4666666666666667,0.47500000000000003,0.00833333333333336,22
2019-08,0.39669421487603307,0.4380165289256198,0.04132231404958675,22
2019-09,0.46,0.52,0.06,20
2019-10,0.7222222222222223,0.5238095238095238,-0.19841269841269848,23
